date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,group,stage
2026-06-19,Mexico,South Africa,2,0,FIFA World Cup,,,True,A,Group Stage
2026-06-19,South Korea,Czechia,2,1,FIFA World Cup,,,True,A,Group Stage
2026-06-19,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,,,True,B,Group Stage
2026-06-19,USA,Paraguay,4,1,FIFA World Cup,,,True,D,Group Stage
2026-06-19,Qatar,Switzerland,1,1,FIFA World Cup,,,True,B,Group Stage
2026-06-19,Brazil,Morocco,1,1,FIFA World Cup,,,True,C,Group Stage
2026-06-19,Haiti,Scotland,0,1,FIFA World Cup,,,True,C,Group Stage
2026-06-19,Australia,Turkey,2,0,FIFA World Cup,,,True,D,Group Stage
2026-06-19,Germany,Curaçao,7,1,FIFA World Cup,,,True,E,Group Stage
2026-06-19,Netherlands,Japan,2,2,FIFA World Cup,,,True,F,Group Stage
2026-06-19,Ivory Coast,Ecuador,1,0,FIFA World Cup,,,True,E,Group Stage
2026-06-19,Sweden,Tunisia,5,1,FIFA World Cup,,,True,F,Group Stage
2026-06-19,Belgium,Egypt,1,1,FIFA World Cup,,,True,G,Group Stage
2026-06-19,Spain,Cape Verde,0,0,FIFA World Cup,,,True,H,Group Stage
2026-06-19,Iran,New Zealand,2,2,FIFA World Cup,,,True,G,Group Stage
2026-06-19,Saudi Arabia,Uruguay,1,1,FIFA World Cup,,,True,H,Group Stage
2026-06-19,France,Senegal,3,1,FIFA World Cup,,,True,I,Group Stage
2026-06-19,Iraq,Norway,1,4,FIFA World Cup,,,True,I,Group Stage
2026-06-19,Argentina,Algeria,3,0,FIFA World Cup,,,True,J,Group Stage
2026-06-19,Austria,Jordan,3,1,FIFA World Cup,,,True,J,Group Stage
2026-06-17,Portugal,DR Congo,1,1,FIFA World Cup,,,True,K,Group Stage
2026-06-19,England,Croatia,4,2,FIFA World Cup,,,True,L,Group Stage
2026-06-19,Ghana,Panama,1,0,FIFA World Cup,,,True,L,Group Stage
2026-06-19,Colombia,Uzbekistan,3,1,FIFA World Cup,,,True,K,Group Stage
2026-06-19,Switzerland,Bosnia and Herzegovina,1,1,FIFA World Cup,,,True,B,Group Stage
2026-06-19,Czechia,South Africa,1,1,FIFA World Cup,,,True,A,Group Stage
